iteration,energy
0,0.4967490489049474
1,0.49710753747801106
2,0.4986694572281545
3,0.4970996385919786
4,0.4982929751436723
5,0.4944815413602467
6,0.4980396657290007
7,0.501775052179867
8,0.502349344487956
9,0.5041114669790453
10,0.49901138866602657
11,0.4987426138458467
12,0.4972945143022445
13,0.4949025505573065
14,0.4936774380350474
15,0.4964972381637014
16,0.49831875490672706
17,0.501100564373532
18,0.500809094017837
19,0.4999261167346801
20,0.49625131550227564
21,0.4996603842599283
22,0.5014154854739838
23,0.5008685596302679
24,0.5049534952400884
25,0.5052500968744118
26,0.5049220374469515
27,0.5045218802821919
28,0.50359579137172
29,0.5060147451118782
30,0.5064063006433704
31,0.5055683148138632
32,0.5033942555307576
33,0.5017246060600713
34,0.5009774387150085
35,0.4996454371569199
36,0.498297059937582
37,0.4977502292584066
38,0.500759984183399
39,0.49810272480522433
40,0.5047945167407701
41,0.5052978968960136
42,0.5011665166944439
43,0.49752710043438886
44,0.5014119259810943
45,0.5018863465499781
46,0.5007055084746368
47,0.5071168781307616
48,0.5085597189390775
49,0.5092301842797702
50,0.5077382162621599
